itemId,title,category,description,option1,option2,option3
B0000DG86X,Brussel's Live Green Mound Juniper Outdoor Bonsai Tree - 5 Years Old; 6&quot; to 10&quot; Tall with Decorative,Patio_Lawn_and_Garden,"['', 'Considered a very hardy conifer, the Juniper is a non-flowering tree that makes a great choice for bonsai because of it is so easy to prune and train. Originating from China, it is one of the most popular types of bonsai trees and is a firm favorite of many bonsai enthusiasts. The Juniper is a low growing plant, producing lush greenery and small, firm, silvery blue berries atop interesting bark that adapts well to several creative forms of Bonsai bark manipulation. This type of tree offers the choice of being able to grow it indoors or outdoors. Its compact foliage makes it one of the best candidates to become a Bonsai. Junipers grow slowly and are very long-lived. This Juniper will grow with outstanding beauty, remaining green throughout the year.', 'Each live plant is shipped with the Phytosanitary Certificate as required by the USDA.', ""The natural movement of the Green Mound's trunk and branches captures the essential grace and beauty of bonsai. A hardy, outdoor evergreen, this low-maintenance juniper is one of the easiest bonsai for beginners. This tree is five years old and 8 to 12 inches tall. Every tree order includes specific growing instructions."", ""<b>Delivery and Packaging: What to expect when you receive your bonsai </b><br> To ensure only well-established, healthy trees are shipped, Brussel's Bonsai imports its trees from nurseries in China where growers spend years training and shaping tree branches. Some bonsai defoliate (drop leaves) when their environment changes. If upon the tree's arrival some leaves have dropped or turned slightly brown that does not mean the bonsai is unhealthy. Defoliation is the natural result of being in the low-light environment of a shipping box. Whenever possible, Brussels Bonsai avoids using Styrofoam-popcorn packaging. In some cases, Styrofoam popcorn must be used to safely pack unusually shaped bonsai. Organic popcorn packaging made from corn starch reacts with moisture from the trees and can dissolve. When you receive your tree, place the box in a shaded area to unpack. Inspect tree for damage to branches or leaves. Water soil if dry. Place each bonsai in protected shade for at least one week before moving to a sunny location."", '<b>What is a Bonsai?</b><br> Literally, the Japanese word ""bonsai"" means ""tray tree"" or ""plant grown in a pot."" The term refers to the artistic techniques used to capture the natural beauty of trees, rather than a specific variety of tree. A full-grown tree and a bonsai can be grown from the same seed--the bonsai has simply been dwarfed and shaped through years of training. To develop authentic bonsai, Brussels grows specimens under carefully controlled conditions, meticulously training each tree with wire and pruning over a period of years. The value of a particular bonsai typically depends on size, age, and training. Generally, more expensive trees are larger, older, and have had more detailed, elaborate training. These qualities combined create the illusion of a large tree in a natural setting.', '<b>Deciduous/Outdoor Bonsai Care</b>', '<b><i>Climate</i></b><br> Outdoor bonsai are deciduous trees that require the same climate changes in spring, summer, fall, and winter as full-sized trees of the same species. As a rule, deciduous bonsai do well in regions with humidity levels of 50% to 75% and yearly temperature ranges of 20 to 100 degree F. During winter, deciduous bonsai must remain outdoors. This period of dormancy is essential--without it, the tree may become unhealthy and susceptible to disease. Protect or ""heel-in"" your bonsai by covering the pot and soil with pine needles or mulch. Place the tree against a wall to shield it from extreme winds. Outdoor bonsai are more vulnerable to extreme cold than full-size trees and should be moved to a garage, shed, cold frame, or basement when temperatures fall below 20 degrees F.', '<table> <table width=""0%"" border=""0"" cellpadding=""7"" align=""left""> <tr> <td> <img src=""https://images-na.ssl-images-amazon.com/images/G/01/kitchen/detailpages/outdoorliving/display6sm.jpg""> </td> </tr> </table> <b><i>Placement</i></b><br> Deciduous bonsai need to be kept outdoors year-round. Natural sunlight and rainwater are both important elements in an ideal growing environment. Typically, they require six or more hours of direct sunlight a day and do well in locations that get shade from late afternoon sun. Outdoor bonsai may be displayed indoors once a month, for short periods of time (2-3 days). In Japan, bonsai are traditionally displayed against a solid black, white, wood, or bamboo background, or on a stand or pot larger than the tree. Stark contrasts enhance the bonsais simple beauty.', '<table> <table width=""0%"" border=""0"" cellpadding=""7"" align=""right""> <tr> <td> <img src=""https://images-na.ssl-images-amazon.com/images/G/01/kitchen/detailpages/outdoorliving/water2.jpg""> </td> </tr> </table> <b><i>Watering</i></b><br> Generally speaking, water when the top of the soil is dry. Use a can or hose attachment that casts a soft, rain-like spray that wont disturb the soil in the pot. Do not allow bonsai to dry out. Water daily during hot summer months. In winter, though trees need less water, its a good idea to water well before a hard freeze (frozen water acts as insulation).', '<b><i>Soil and fertilizer</i></b><br> Bonsai trees spend years in the same soil and eventually deplete the available nutrients. Providing supplemental nutrition is essential for a healthy tree. Most water soluble and time-released fertilizers work well when used as directed.', '<table> <table width=""0%"" border=""0"" cellpadding=""7"" align=""right""> <tr> <td> <img src=""https://images-na.ssl-images-amazon.com/images/G/01/kitchen/detailpages/outdoorliving/pot1sm.jpg""> </td> <tr><td> <i><font size=-1><b>Run wire through drain</b></font></i></td></tr> </tr> <td> <img src=""https://images-na.ssl-images-amazon.com/images/G/01/kitchen/detailpages/outdoorliving/pot3tiny2.jpg""> </td><tr><td> <i><font size=-1><b>Trim rootball</b></font></i></td></tr> </tr> </tr> <tr> <td> <img src=""https://images-na.ssl-images-amazon.com/images/G/01/kitchen/detailpages/outdoorliving/pot6tiny.jpg""> </td> <tr><td> <i><font size=-1><b>Work soil into roots</b></font></i></td></tr> </tr> </tr> </table> <b><i>Repotting</i></b><br> Bonsai need to be repotted every 3 to 5 years. After receiving your tree, wait at least one growing season before repotting. Using proper bonsai soil is critical. Brussels bonsai soil consists of a mixture of high-fired clay particles and finely ground pine bark. The soil-free mix does not compact, allows water to drain easily, and helps prevent the root rot that often occurs with ordinary potting soil.', 'It is important to pot your bonsai correctly. Prepare your container for potting by putting screen over the drain holes. Run wire through the drain screen--you will need this to secure the tree in the container. Trim the rootball so it will fit in the bonsai pot. Keep in mind, cutting larger roots is better than cutting small feeder roots. Continue trimming the root ball until it will fit into the bonsai container. Be sure to place a good layer of bonsai soil on the bottom of the bonsai container.', 'Place the tree in the pot. Use the wire to secure the tree in the bonsai container. Twist and pull the wire with pliers to tighten. Add bonsai soil around the root ball. Use a chopstick to work the bonsai soil into the root system. Your bonsai should now be secure in its new container.', '<table> <table width=""0%"" border=""0"" cellpadding=""7"" align=""left""> <tr> <td> <img src=""https://images-na.ssl-images-amazon.com/images/G/01/kitchen/detailpages/outdoorliving/wire1sm.jpg""> </td> </tr> </table> <b><i>Training</i></b><br> All bonsai require some degree of seasonal pruning. Regular pruning produces smaller branches. A simple pair of pointed-nose scissors does the job. Wiring may also be used to hold them in a desired position or location. If youre happy with the branch placement as is, there is no real need to wire. For detailed instruction in the art of pruning bonsai, Brussels Bonsai recommends purchasing a book on basic training techniques.', 'If you choose to wire your bonsai, make sure to use heavier gauge wire for larger branches on the bottom of the tree, and lighter gauge for smaller branches. Begin by sticking the end of the wire into the soil next to the trunk of the tree. Wrap the wire around the trunk until you come to the first branch. Continue curling the wire around the branch. Once you have come to the end of a branch, cut and remove the excess wire. The wire now allows you to bend the branch into the desired shape and location.', '<b><i>Lifespan</i></b><br> Most bonsai trees can live up to 100 years or more depending, of course, on the quality of care they receive.', ""<b>The Story of Brussel's Bonsai Nursery</b><br> When Brussel Martin was five years old, he was instantly captivated by several bonsai his father brought back from a California business trip. As a teenager, he began to seriously study the art of bonsai. What started as an artistic endeavor in his parents' backyard quickly grew into a business. In the 1970s, he began selling bonsai through the mail and traveling to shows across the country. By the early '80s, he was making annual buying trips to Asia."", 'As the business has grown, so has his desire to introduce bonsai to more and more Americans. Brussels now offers a full range of bonsai trees, from modestly priced bonsai for the beginner to unique specimens styled by bonsai experts.']","['CONTENTS: Bonsai, Decorative Container (Assorted Colors & Styles), Soil, Care Instructions.', 'SPECIES: The Juniper is a low growing plant, producing lush greenery and small, firm, silvery blue berries atop interesting bark that adapts well to several creative forms of Bonsai bark manipulation.', 'AGE/SIZE/CARE: Your medium 5 year old bonsai will arrive at 6"" to 10"" tall in a 8"" container and will perform best outdoors (see detailed care instructions in images)', 'USES: Ideal Mothers Day gift, office & cubicle dcor or a centerpiece for any kitchen table, desktop, window plant or outdoor dcor.', 'WARRANTY: Your bonsai tree has been grown in a state-of-the-art greenhouse under precisely controlled conditions to achieve optimum health. If for any reason you are not completely satisfied with your tree or with our service, please notify us within 30 days of receipt. We will correct the situation to your satisfaction.']",Brussel's Bonsai,5993
B0000DGF9V,Brussel's Live Golden Gate Ficus Indoor Bonsai Tree - 4 Years Old; 5&quot; to 8&quot; Tall with Decorative Container,Patio_Lawn_and_Garden,"['', 'There are over 600 species of Ficus, most of them tropical and evergreen. Ficus produces a unique ""fruit"" which is actually an inverted flower. Ficus is one of the most loved bonsai for many reasons. Ficus are one of the best varieties of Bonsai trees for indoors. They\'re very easy to take care of and need little attention. In the ficus family, the Golden Gate variety is the best for growing indoors. The attractive gray trunk is thick and sturdy topped by small, dark green oval foliage. It is an excellent tree for beginners, as most species of Ficus are fast growers, tolerant of most any soil and light conditions, make fine indoor bonsai, and perhaps most importantly, are remarkably forgiving of those just learning bonsai watering techniques.', 'Each live plant is shipped with the Phytosanitary Certificate as required by the USDA.']","['CONTENTS: Bonsai, Decorative Container (Assorted Colors & Styles), Soil, Care Instructions.', 'SPECIES: In the ficus family, the Golden Gate variety is the best for growing indoors. The attractive gray trunk is thick and sturdy topped by small, dark green oval foliage.', 'AGE/SIZE/CARE: Your 4 year old bonsai will arrive between 5"" to 8"" tall in a 6"" container and will perform best indoors (see detailed care instructions in images)', 'USES: Ideal Mothers Day gift, office & cubicle dcor or a centerpiece for any kitchen table, desktop, window plant or outdoor dcor.', 'WARRANTY: Your bonsai tree has been grown in a state-of-the-art greenhouse under precisely controlled conditions to achieve optimum health. If for any reason you are not completely satisfied with your tree or with our service, please notify us within 30 days of receipt. We will correct the situation to your satisfaction.']",Brussel's Bonsai,2859
B0000VM9EE,"Wilton FoodWriter Color Fine-Tip Edible Markers, 5-Piece",Kitchen_and_Dining,['Write messages and add custom details to your desserts using this 5-piece set of edible markers. Kids will love getting in on the fun and drawing their own edible designs.'],"['Edible color markers with fine tips let you instantly add details to all kinds of treats', 'Easy for kids to apply', 'Color: Red, blue, green, yellow and black', '0.35 oz. (10 g) each', 'Certified Kosher', 'Add fun and dazzling color to countless foods', 'Decorate on fondant color flow Wilton Cookie Icing royal icing even directly on cookies', 'Brighten every day foods', 'Includes 5 Food Writer markers', 'Certified kosher']",Wilton,4141
B0001XXB3E,"Wilton White Sparkling Sugar, 8 oz.",Kitchen_and_Dining,"['Sprinkle on sparkling sugar for cakes, candies, cupcakes, and more.']","['Sparkling sugar adds subtle shine all your sweet treats and is perfect for celebrations', 'Color: White', 'Net weight: 8 oz. (148 g)', 'Certified Kosher; made in a facility that also processes peanuts, tree nuts, milk, soy and wheat products', 'Made in the USA', '8 ounce jar', 'Sparkling sugar', 'Certified Kosher']",Wilton,1894
B00076TQ1G,"CK Products 4 Ounce Sanding Sugar Bottle, Gold",Kitchen_and_Dining,"['Colored sanding sugars are a beautiful way to add colorful sparkle to cakes, cupcakes, and cookies. These are colored by CK Products!']",['4-ounce bottle with sift/pour cap'],CK Products,6828
B0007R9L4M,"Tasty Bite Indian Entree Madras Lentils 10 Ounce (Pack of 6), Fully Cooked Indian Entr&eacute;e with Lentils Red Beans &amp; Spices in a Creamy Tomato Sauce, Microwaveable, Ready to Eat",Tools_and_Home_Improvement,"['Organic brown rice tossed with red chilies, raisins and spices, this dish is just the right blend of sweet and savory. Just heat and serve by itself, or as a compliment to any meal.']","[""BOLD SPICES: Tasty Bite's Madras Lentils Indian Entre is a quick and delicious way to bring bold, Indian spices to your dinner table. Made with a mix of lentils and red kidney beans in a creamy tomato sauce, it's delicious as a hearty soup or over rice."", ""EASY AND DELICIOUS: Tasty Bite's Indian Entrees make it easier than ever to have the delicious flavors of Indian curries, sauces and stews in no time at all. Toss the packet into the microwave for 60 seconds then enjoy your delicious, spice-balanced meal."", 'ANCIENT TRADITIONS, EASY MEALS: Flavorful Indian recipes have evolved over thousands of years. Weve taken this wisdom and sealed it in a convenient package. Our fresh vegetable and lentil Entres deliver you centuries of taste in less than 60 seconds.', 'FAST, FLAVORFUL, ALL NATURAL: For close to 25 years, Tasty Bite has been making fast, flavorful and all natural ethnic food - including entrees, sauces and rices - to delight consumers, with a focus on supporting local farms and protecting the environment.', ""UNBEATABLE TASTE: Tasty Bite's rices, sauces & entrees compare favorably to similar products from Uncle Ben's, Knorr's, Nishiki, Niko Niko, Fiesta, Lundberg Farms, Mahatma, Barilla, Healthy Choice, Marie Callenders, HMR Entre, Whole Foods, Southern Living"", '<span class=""a-size-base a-color-secondary"">\n                All Natural\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Vegetarian\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Non-GMO\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                No Preservatives\n            </span>']",Tasty Bite,930
B000AF0A78,"Heather's Tummy Teas Organic Fennel Tea Bags (45 Jumbo Teabags) for IBS, 8.82 Ounce",Grocery_and_Gourmet_Food,"[""Heather's Tummy Teas Organic Fennel Tea Bags (45 Jumbo Teabags) for IBS, 8.82 Ounce""]","['A medical food for the dietary management of IBS symptoms and ideal bloating support. 100% organic, high volatile oil, fresh packed fennel seed tea.', 'A traditional digestive aid for colic, heartburn, indigestion, and stomachaches.', 'Naturally caffeine free, gluten free. Certified organic by QAI. Kosher certified.', 'Mild, sweet licorice flavor. 45 jumbo tea bags!', 'Exceptionally beneficial for IBS bloating and gas.', '<span class=""a-size-base a-color-secondary"">\n                For immediate bloating support\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Exceptional for bloating &amp; gas\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Relaxes the gut, soothes spasms\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Medicinal strength &amp; serving size\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Certified organic\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                A medical food for the dietary management of IBS symptoms and ideal bloating support.\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Mild, sweet black licorice flavor.\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                High volatile oil, medicinal strength.\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Grown in the Mediterranean\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                8.82 oz net weight (250 grams).\n            </span>']",Heather's Tummy Care,1720
B000EWMI5O,Spicy World Star Anise 3 Ounce,Grocery_and_Gourmet_Food,['Spicy World Star Anise 3 Ounce'],"['Star anise is the unusual fruit of a small oriental tree', 'Tough skinned and rust colored, they measure up to 3cm (1-1/4) long', 'The stars are available whole, or ground to a red-brown powder', 'The fruit is picked before it can ripen, and dried', 'It is highly toxic, therefore it is not edible']",ImportFood,2637
B000FRUNL4,"Wilton 703-212 Elegant Shimmer Dust Food Decorative,3/Pack",Kitchen_and_Dining,['Give your fondant decorating that added dash of color. Sprinkle on Shimmer Dustthe sparkling color will give your decorations a jolt of excitement your guests will love. Just brush your fondant-covered cake top or fondant Cut-Outs with water and sprinkle lightly over the dampened area.'],"['Easy to use-Just brush your fondant-covered cake top or fondant Cut-Outs with water and sprinkle lightly over the dampened area', 'Includes silver, gold and pearl colors in .47-ounce', 'Perfect solution to creating beautiful designed treats with less the mess', 'Comes in a variety of color options', 'Certified Kosher']",Wilton,3813
B000FZRYPO,"Al Dente Carba-Nada Egg Fettuccine, 10-Ounce Bags (Pack of 6)",Grocery_and_Gourmet_Food,"[""All natural. For your low-carb, fit and healthy lifestyle! You really can have your pasta and eat it, too! A little pasta tossed with lots of other healthy ingredients is so nutritious, good and satisfying. Here's to your low-carb, fit and healthy lifestyle!""]","['Case of six 10-ounce bags (total of 60 ounces)', 'Low-carb, all-natural, hand-crafted roasted-garlic egg fettuccine; 18 net grams carb per serving', 'Made of semolina flour, defatted soy flour, wheat gluten, digestive-resistant cornstarch, whole eggs', 'Cooks in 3 minutes; certified kosher', 'Ships in Certified Frustration-Free Packaging']",Al Dente,1163
B000GAWH4G,"Nielsen-Massey Madagascar Bourbon Vanilla Extract, with gift box, 8 ounces",Grocery_and_Gourmet_Food,[],"['Madagascar Bourbon Pure Vanilla Extract is the perfect all-purpose vanilla.', ""This vanilla has a flavor profile that's full, sweet, creamy and mellow with velvety after-tones."", 'Kosher Certified, Gluten-Free Certified, All-Natural, Allergen-Free, GMO-Free', 'Ingredients: Water, Alcohol (35%), Sugar, Vanilla Bean Extractives', '1 Tbsp. vanilla extract = 1 whole vanilla bean = 1 Tbsp. vanilla bean paste = 1 Tbsp. vanilla powder']",Nielsen-Massey,3694
B000JJHDVG,"Coombs Family Farms Organic Maple Sugar, 1lb 9-Ounce Container",Grocery_and_Gourmet_Food,"['USDA organic. For seven generations, Coombs Family Farms has produced 100% pure, great tasting maple syrup by taking special care of our ancient maple trees. The Coombs Commitment: We make 100% pure maple syrup with no artificial flavors, perservatives or dyes; We never over-tap trees; We support the use of health spouts for tree friendly tapping; We never use pesticides in our tree farm; Our grading standards are never compromised for short-term gain. Nurturing the forest for 7 generations. Certified Organic by QAI. Products of USA and Canada.']","['Uniquely versatile and delicious our Pure Maple Sugar is a healthy alternative sweetener made entirely from pure maple syrup', 'Use it in cookies, muffins, breads, flan, milk shakes, lemonade, tea, and lots more', 'If the recipe calls for 1 cup of cane sugar substitute with 2/3rds cup of maple sugar', ""Pure maple sweetness - it's what we do"", '<span class=""a-size-base a-color-secondary"">\n                Our maple syrup is 100% pure, free from artificial flavors, preservatives or dyes\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                We only support using &#039;health spout taps&#039; and never over-tap our trees\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Our tree farms are pesticide free\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Our grading standards are stringent and steadfast\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                We are committed to producing high quality maple and protecting our forests\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Environmental stewardship has been a guiding principal for our family, though in the early days, we just thought of it as being good farmers\n            </span>']",Coombs Family Farms,6017
B000JVXSAO,"Wilton White Sugar Pearl Sprinkles, 4.8 oz.",Kitchen_and_Dining,['These edible iridescent sprinkles add stunning accents to your baked treats.'],"['White pearl-shaped sprinkles add sophisticated flair to special occasion treats', 'Color: White', 'Sugar Pearl Net weight: 4.8 oz. (136 g)', 'Certified Kosher; made in a facility that also processes soy', 'Made in the USA', 'Capacity: 5 oz', 'Exciting toppings for cakes and treats']",Wilton,808
B000MGQDAS,"Americolor Soft Gel Paste Food Color, 4.5-Ounce, Super Red",Kitchen_and_Dining,"['Americolor manufactures decorating food colors, as well as meringue powder, piping gel and other related food products. Americolor corp. Brings to the cake decorating trade years of experience in the food color industry, combined with new innovations in the development and production of food color technology. We are proud to introduce you to the strongest and most vibrant colors on the market, ""serious color for the serious decorator!"".']","[""Soft gel paste is an effective coloring system; it's consistent from batch to batch; certified kosher and made in the U.S.A"", 'It has coloring strength superior to any other food color; it will not separate or weep and does not harden', 'The base ingredients allow the color to disperse immediately so you actually use less color. Squeeze bottle with a flip-top lid', 'It will color the more delicate non-dairy whipped icings and toppings without breaking them down', 'By mixing and measuring using ""drops"" of color you can achieve precise easy-to-repeat colors every time']",AmeriColor,1166
